author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,43.4605,-113.5551,120242.20589679353,particle/m2/d,1.5712350982286872e-05,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,4448.007907569613,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.2878,-105.6628,376297.5508280949,particle/m2/d,4.917174587981863e-05,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,13920.02474671066,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,34.0695,-116.3889,46712.79941314281,particle/m2/d,6.104078798874037e-06,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,1728.0030720054613,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.7543,-109.4671,103806.22091809515,particle/m2/d,1.3564619553053415e-05,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,3840.006826678803,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.00035776183731586964
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,38.4584,-109.821,41522.48836723806,particle/m2/d,5.4258478212213665e-06,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,1536.0027306715212,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.0547,-105.5891,128027.67246565068,particle/m2/d,1.672969744876588e-05,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,4736.008419570524,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,38.9561,-106.986,121107.25773777766,particle/m2/d,1.582538947856232e-05,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,4480.007964458603,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,39.0054,-114.217,92560.54698530151,particle/m2/d,1.2095119101472627e-05,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,3424.0060871219325,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.00035776183731586964
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,37.6186,-112.1728,69204.1472787301,particle/m2/d,9.04307970203561e-06,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range stated in paper,3.0,2560.004551119202,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.00035776183731586964
Cai,2017.0,https://doi.org/10.1007/s11356-017-0116-x,deposition,23.05,113.77,778557.7297264438,particle/m2/d,0.00010173609356380363,t/km2/yr,0.136,100.0,µm,Fibers + Films + Foams + Fragments,land,size range estimated from figure 4; count excludes organic particles e.g. cellulose,3.0,28800.46080737292,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Dris,2016.0,https://doi.org/10.1016/j.marpolbul.2016.01.006,deposition,48.805,2.443,14871682.866724966,particle/m2/d,0.001943320144174734,t/km2/yr,0.136,100.0,µm,Fibers,land,size range estimated from figure 3,3.0,550134.31013431,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.00035776183731586964
Klein,2019.0,https://doi.org/10.1016/j.scitotenv.2019.05.405,deposition,53.518,9.923,6598276.759431611,particle/m2/d,0.0008622133929532357,t/km2/yr,0.136,100.0,µm,Fibers + Fragments,land,size range estimated from section 3.3; count is mean of all samples,3.0,244083.90534248552,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,34.61,119.21,539797.1445813621,particle/m2/d,7.053664835605606e-05,t/km2/yr,0.136,100.0,µm,Fibers,land,size range estimated from figure 3b,3.0,19968.212905560344,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.00035776183731586975
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,29.97,122.18,941184.764911093,particle/m2/d,0.0001229869766208157,t/km2/yr,0.136,100.0,µm,Fibers,land,size range estimated from figure 3b,3.0,34816.37121995137,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,24.61,118.31,816616.1930846248,particle/m2/d,0.0001067092885386489,t/km2/yr,0.136,100.0,µm,Fibers,land,size range estimated from figure 3b,3.0,30208.32208789898,µm2*particle/d/m2,0.09684482953466136,1.0,g/cm3,0.0003577618373158697
