author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.7543,-109.4671,120.0,particle/m2/d,0.0024966,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,38.4584,-109.821,48.0,particle/m2/d,0.00099864,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.0547,-105.5891,148.0,particle/m2/d,0.00307914,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,38.9561,-106.986,140.0,particle/m2/d,0.0029127,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,39.0054,-114.217,107.0,particle/m2/d,0.002226135,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,37.6186,-112.1728,80.0,particle/m2/d,0.0016644,t/km2/yr,4.0,3000.0,µm,Fibers + Fragments,land,size range stated in paper
Cai,2017.0,https://doi.org/10.1007/s11356-017-0116-x,deposition,23.05,113.77,36.0,particle/m2/d,0.00074898,t/km2/yr,20.0,5000.0,µm,Fibers + Films + Foams + Fragments,land,size range estimated from figure 4; count excludes organic particles e.g. cellulose
Dris,2016.0,https://doi.org/10.1016/j.marpolbul.2016.01.006,deposition,48.805,2.443,110.0,particle/m2/d,0.00228855,t/km2/yr,50.0,3200.0,µm,Fibers,land,size range estimated from figure 3
Klein,2019.0,https://doi.org/10.1016/j.scitotenv.2019.05.405,deposition,53.518,9.923,305.1,particle/m2/d,0.0063476055,t/km2/yr,20.0,5000.0,µm,Fibers + Fragments,land,size range estimated from section 3.3; count is mean of all samples
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,34.61,119.21,39.0,particle/m2/d,0.000811395,t/km2/yr,16.0,4900.0,µm,Fibers,land,size range estimated from figure 3b
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,29.97,122.18,68.0,particle/m2/d,0.00141474,t/km2/yr,16.0,4900.0,µm,Fibers,land,size range estimated from figure 3b
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,24.61,118.31,59.0,particle/m2/d,0.001227495,t/km2/yr,16.0,4900.0,µm,Fibers,land,size range estimated from figure 3b
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,38.29,116.87,36.0,particle/m2/d,0.00074898,t/km2/yr,16.0,4900.0,µm,Fibers,land,size range estimated from figure 3b
Roblin,2020.0,https://doi.org/10.1021/acs.est.0c04000,deposition,55.37175,-7.33945,15.0,particle/m2/d,0.000312075,t/km2/yr,50.0,4000.0,µm,Fibers,land,size range estimated from figure S3 and statement that visual detection was limited to fibers with length > 50 um; count from bulk deposition sample only; count excludes organic fibers e.g. cellulose
Stanton,2019.0,https://doi.org/10.1016/j.scitotenv.2019.02.278,deposition,52.95,-1.14,2.9,particle/m2/d,6.03345e-05,t/km2/yr,,,µm,Fibers,land,size range not reported
Tian,2020.0,https://doi.org/10.13671/j.hjkxxb.2020.0067,deposition,38.84,117.44,245.0,particle/m2/d,0.005097225,t/km2/yr,,,µm,,land,could not access article
Tian,2020.0,https://doi.org/10.13671/j.hjkxxb.2020.0067,deposition,38.87,121.4,198.0,particle/m2/d,0.00411939,t/km2/yr,,,µm,,land,could not access article
Tian,2020.0,https://doi.org/10.13671/j.hjkxxb.2020.0067,deposition,37.59,121.54,74.0,particle/m2/d,0.00153957,t/km2/yr,,,µm,,land,could not access article
Unknown-d1,,,deposition,40.0,121.5,11.2,particle/m2/d,0.0004088,t/km2/yr,,,µm,,ocean,Bohai Sea
Unknown-d2,,,deposition,38.5,119.0,139.3,particle/m2/d,0.00508445,t/km2/yr,,,µm,,ocean,Bohai Sea
Unknown-d3,,,deposition,37.0,120.0,74.5,particle/m2/d,0.0015499725,t/km2/yr,,,µm,,land,"Eastern Shandong, China"
Unknown-d4,,,deposition,38.84,117.4,245.6,particle/m2/d,0.005109708,t/km2/yr,,,µm,,land,"Tianjin, China"
Unknown-d5,,,deposition,38.87,121.43,203.4,particle/m2/d,0.004231737,t/km2/yr,,,µm,,land,"West of Dalian, China"
Unknown-d6,,,deposition,37.0,121.0,402.9,particle/m2/d,0.0083823345,t/km2/yr,,,µm,,land,"Eastern Shandong, China"
Unknown-d7,,,deposition,23.0,114.0,245.9,particle/m2/d,0.0051159495,t/km2/yr,,,µm,,land,"East of Dongguan, China"
Unknown-d8,,,deposition,30.5,90.5,29.1,particle/m2/d,0.0006054255,t/km2/yr,,,µm,,land,"Tibet, China"
Wright,2020.0,https://doi.org/10.1016/j.envint.2019.105411,deposition,51.5111,-0.1171,771.0,particle/m2/d,0.016040655,t/km2/yr,25.0,2900.0,µm,Fibers + Films + Foams + Fragments,land,size range estimated from figure 2
Yuan,2023.0,https://doi.org/10.1016/j.scitotenv.2023.161839,deposition,23.13,113.26,65.937,particle/m2/d,0.001371819285,t/km2/yr,29.0,185.0,µm,Fibers,land,size range from section 3.2
