author,year,doi,measure,lat,lon,particle/m3,ug/m3,particle/m2/d,t/km2/yr,size_min_um,size_max_um,shape,area,notes
Unknown-d8,,,deposition,30.5,90.5,,,28.9,0.000606033,,,,land,"Tibet, China"
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,34.61,119.21,,,39.0,0.00081783,16.0,4900.0,Fibers,land,size range estimated from figure 3b
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,29.97,122.18,,,68.0,0.00142596,16.0,4900.0,Fibers,land,size range estimated from figure 3b
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,24.61,118.31,,,59.0,0.00123723,16.0,4900.0,Fibers,land,size range estimated from figure 3b
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,deposition,38.29,116.87,,,36.0,0.00075492,16.0,4900.0,Fibers,land,size range estimated from figure 3b
Cai,2017.0,https://doi.org/10.1007/s11356-017-0116-x,deposition,23.05,113.77,,,244.0,0.00511668,20.0,5000.0,Fibers + Films + Foams + Fragments,land,size range estimated from figure 4
Tian,2020.0,https://doi.org/10.13671/j.hjkxxb.2020.0067,deposition,38.84,117.44,,,245.0,0.00513765,,,,land,could not access article
Tian,2020.0,https://doi.org/10.13671/j.hjkxxb.2020.0067,deposition,38.87,121.4,,,198.0,0.00415206,,,,land,could not access article
Tian,2020.0,https://doi.org/10.13671/j.hjkxxb.2020.0067,deposition,37.59,121.54,,,74.0,0.00155178,,,,land,could not access article
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,36.1,-113.2,,,112.0,0.00229395,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,43.0,-108.0,,,68.0,0.001406509,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,46.0,-117.0,,,139.0,0.002868994,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,33.0,-120.0,,,435.0,0.009169054,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,37.0,-119.0,,,54.0,0.001125,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,38.5,-90.5,,,120.0,0.002487831,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,36.1,-113.2,,,48.0,0.00102489,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,39.0,-86.0,,,148.0,0.003215434,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.7,-74.0,,,140.0,0.002833333,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,42.0,-93.27,,,107.0,0.002211538,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Brahney,2020.0,https://doi.org/10.1126/science.aaz5819,deposition,40.8,-111.9,,,80.0,0.001655172,4.0,3000.0,Fibers + Fragments,land,size range stated in paper
Allen,2019.0,https://doi.org/10.1038/s41561-019-0335-5,deposition,42.6,0.7,,,365.0,0.00765405,10.0,3000.0,Fibers + Films + Fragments,land,size range estimated from figure 2
Klein,2019.0,https://doi.org/10.1016/j.scitotenv.2019.05.405,deposition,53.33,0.16,,,428.0,0.00897516,20.0,5000.0,Fibers + Fragments,land,size range estimated from section 3.3
Klein,2019.0,https://doi.org/10.1016/j.scitotenv.2019.05.405,deposition,53.33,0.16,,,331.0,0.00694107,20.0,5000.0,Fibers + Fragments,land,size range estimated from section 3.3
Klein,2019.0,https://doi.org/10.1016/j.scitotenv.2019.05.405,deposition,53.33,0.16,,,215.0,0.00450855,20.0,5000.0,Fibers + Fragments,land,size range estimated from section 3.3
Roblin,2020.0,https://doi.org/10.1021/acs.est.0c04000,deposition,53.33,-6.25,,,80.0,0.0016776,50.0,4000.0,Fibers,land,size range estimated from figure S3 and statement that visual detection was limited to fibers with length > 50 um
Dris,2016.0,https://doi.org/10.1016/j.marpolbul.2016.01.006,deposition,48.9,2.4,,,110.0,0.0023067,50.0,3200.0,Fibers,land,size range estimated from figure 3
Stanton,2019.0,https://doi.org/10.1016/j.scitotenv.2019.02.278,deposition,52.95,-1.14,,,2.9,6.0813e-05,,,Fibers,land,size range not reported
Wright,2020.0,https://doi.org/10.1016/j.envint.2019.105411,deposition,51.0,-0.11,,,712.0,0.01493064,25.0,2900.0,Fibers + Films + Foams + Fragments,land,size range estimated from figure 2
Wright,2020.0,https://doi.org/10.1016/j.envint.2019.105411,deposition,51.0,-0.11,,,59.0,0.00123723,25.0,2900.0,Fibers + Films + Foams + Fragments,land,size range estimated from figure 2
Yuan,2023.0,https://doi.org/10.1016/j.scitotenv.2023.161839,deposition,23.13,113.26,,,65.937,0.001382699,29.0,185.0,Fibers,land,size range from section 3.2
