study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,density,shape_factor,slope,log_intercept,alpha,scale
Truong2021,10.1016/j.chemosphere.2021.129874,10.8,106.6,Total deposition,Outdoor,Tru21_A,Tru21_A_1,Fibers,300.0,4000.0,1e-06,0.0001060287520586555,-1.1150040163598856,5.279260909207649,-2.1150040163598858,212098.37490388076
Vianello2019,10.1038/s41598-019-45054-w,56.16,10.2,Aerosol,Indoor,Via19_A,Via19_A_1,Fragments,11.220184543019636,446.6835921509633,1e-06,9.4e-08,-1.9261005191964158,3.744732911217867,-2.9261005191964156,10700.69189325907
Wang2020,10.1016/j.jhazmat.2019.121846,22.5,113.7,Aerosol,Outdoor,Wan20_A,Wan20_A_1,Fibers,60.0,2500.0,1e-06,0.0001060287520586555,-0.6715013268254484,0.2196872087794186,-1.6715013268254484,1.1136124660989923
Wang2020,10.1016/j.jhazmat.2019.121846,15.0,112.0,Aerosol,Outdoor,Wan20_A,Wan20_A_2,Fibers,60.0,2500.0,1e-06,0.0001060287520586555,-0.6715013268254489,-0.7045920772824616,-1.671501326825449,0.13257291263083296
Wang2020,10.1016/j.jhazmat.2019.121846,0.0,87.0,Aerosol,Outdoor,Wan20_A,Wan20_A_3,Fibers,60.0,2500.0,1e-06,0.0001060287520586555,-0.6715013268254489,-0.577487278917654,-1.671501326825449,0.17764770292531615
Wright2020,10.1016/j.envint.2019.105411,51.5111,-0.1171,Total deposition,Outdoor,Wri20_A,Wri20_A_1,Fragments,25.0,350.0,1e-06,9.4e-08,-1.9297879851443172,5.524522090376218,-2.9297879851443174,645701.3412673759
Wright2020,10.1016/j.envint.2019.105411,51.5111,-0.1171,Total deposition,Outdoor,Wri20_B,Wri20_B_1,Fibers,100.0,2900.0,1e-06,0.0001060287520586555,-1.0341515717749812,5.481466580219955,-2.034151571774981,313365.20813449315
Xie2022,10.1016/j.envint.2022.107151,31.23,121.47,Aerosol,Indoor,Xie21_A,Xie21_A_1,Fragments,1.0,200.0,1e-06,9.4e-08,-1.2397051141905324,3.512576909604392,-2.2397051141905324,4035.4809584754844
Xie2022,10.1016/j.envint.2022.107151,31.23,121.47,Aerosol,Outdoor,Xie22_A,Xie22_A_2,Fragments,2.0,200.0,1e-06,9.4e-08,-1.1804494175585196,3.132622631954341,-2.1804494175585196,1602.02767477492
Yakovenko2025,10.1371/journal.pone.0328011,43.6,1.44,Aerosol,Indoor,Yak25_A,Yak25_A_1,Fragments,1.0,28.0,1e-06,9.4e-08,-2.2365374553481576,4.645606461986615,-3.2365374553481576,98896.89070528712
Zhu2021,10.1021/acs.est.1c03618,40.0,116.34,Aerosol,Outdoor,Zhu21_A,Zhu21_A_1,Fragments,5.0,1000.0,1e-06,9.4e-08,-1.8705874392370878,4.97815762033766,-2.870587439237088,177883.48696322166
Zhu2021,10.1021/acs.est.1c03618,39.1,117.2,Aerosol,Outdoor,Zhu21_A,Zhu21_A_2,Fragments,5.0,1000.0,1e-06,9.4e-08,-1.8705874392370878,4.894310080168846,-2.870587439237088,146652.0350536485
Zhu2021,10.1021/acs.est.1c03618,31.2,121.5,Aerosol,Outdoor,Zhu21_A,Zhu21_A_3,Fragments,5.0,1000.0,1e-06,9.4e-08,-1.8705874392370883,4.8102763313268095,-2.870587439237088,120852.13999791422
Zhu2021,10.1021/acs.est.1c03618,32.06,118.8,Aerosol,Outdoor,Zhu21_A,Zhu21_A_4,Fragments,5.0,1000.0,1e-06,9.4e-08,-1.8705874392370878,4.63173833632404,-2.870587439237088,80115.46359412272
Zhu2021,10.1021/acs.est.1c03618,30.27,120.16,Aerosol,Outdoor,Zhu21_A,Zhu21_A_5,Fragments,5.0,1000.0,1e-06,9.4e-08,-1.8705874392370878,4.774700177065613,-2.870587439237088,111346.91550369616
